,fileName,dblock_Id,tile,year,content,Town,county,region,country
10,NI-192000-357000-19,NI-192000-357000,19ST. DAVOGS SCHOOL IN BELLEEK,1986,"THE LOCAL SCHOOL IN BELLEEK IS ST.DAVOGS P.S. NAMED AFTER A LOCAL SAINTWHO FOUNDED THE PILGRIMAGE OF LOUGHDERG.THERE ARE 133 PUPILS IN THE SCHOOL AND FIVE TEACHERS.THIS IS A NEW SCHOOL OPEN 6 YEARS AND HAS REPLACED THREE OLD SCHOOLS,TWO OF THEM COUNTRYSCHOOLS.THE OLD SCHOOL HERE WAS CALLED THE COMMONS SCHOOL AND WAS BUILT IN1881.THE PRINCIPAL OF THE SCHOOL ISMASTER CUNNINGHAM AND HE LIVES A SHORT DISTANCE FROM THE SCHOOL.THE OTHER TEACHERS ARE MASTER FAUGHNAN,MISSGORMLEY,MRS MC MAHON AND MRS FEELY.THERE ARE FIVE CLASSROOMS,ADINING HALL AND KITCHEN,A STAFF ROOM,A LIBRARY AND TOILETS.THERE IS A LARGE PLAY AREA WITH SWINGS AND SLIDES AND A PLAYING FIELD FOR GAELIC FOOTBALL ANDHURLING.ONLY CATHOLICS ATTEND OURSCHOOL AND PROTESTANT CHILDREN GO TO CORRY SCHOOL ABOUT A MILE AWAY",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
11,NI-192000-357000-2,NI-192000-357000,02CASTLE CALDWELL,1986," CASTLE CALDWELL IS A FOREST ANDNATURE RESERVE.THE CASTLE WAS FIRSTBUILT IN 1612 BY THE BLENNERHASSET FAMILY DURING THE PLANTATION OFULSTER.THE CALDWELL FAMILY BOUGHT IT IN 1670 THERE WERE FIVE GENERATIONS OF CALDWELLS IN CASTLE CALDWELL AND THE LAST SIR JOHN'S DAUGHTER MARRIED MAJOR BLOOMFIELD AND THEIR SON JOHN CALDWELL BLOOMFIELD WAS ONE OF THE FOUNDERS OFBELLEEK POTTERY.CASTLE CALDWELL WASFINALLY SOLD DUE TO FINANCIALDIFFICULTIES AND EARLY THIS CENTURYWAS BOUGHT BY THE GOVERNMENT AS ASTATE FOREST.AT THE ENTRANCE TO THECASTLE THERE IS A LARGE STONE FIDDLE IN REMEMBRANCE OF DENIS MC CABE,AFIDDLER WHO WAS DROWNED WHEN HE FELL FROM A BARGE DURING A PARTY.THERE ARESOME RARE BIRDS THERE THE COMMON SCOOTER, THE BLACKCAP AND THECORNCRAKE.THE CASTLE IS NOW A RUIN. ",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
12,NI-192000-357000-20,NI-192000-357000,20BELLEEK FIRE STATION,1986," BELLEEK FIRE BRIGADE BEGAN IN 1970 AS A VOLUNTEER UNIT WITH EQUIPMENT STORED IN THE R.U.C STATION. LATER WITH AN ENGINE THE STATION WAS INAN OLD GARAGE OF MRS CHIVERS.9 MEN WERE IN THE UNIT UNTIL 1983-4 WHEN 4 MORE JOINED.COMMONEST FIRES ARE GORSEOR HEATHER,FORESTS AND CHIMNEYS.THEREARE ABOUT 150 CALLS THIS YEAR.THEBRIGADE IS ALSO CALLED OUT TO BAD ROAD ACCIDENTS AS THEY HAVE SPECIAL EQUIPMENT TO OPEN CARS TO RELEASEVICTIMS.ON APRIL 13TH 1985 BELLEEK'S NEW FIRE STATION WAS OPENED AND THEY NOW HAVE A NEW BIGGER FIRE ENGINE ANDMORE EQUIPMENT. A RADIUS OF ABOUT 15 MILES FROM BELLEEK IS COVERED AND THEY CAN CALL UP OTHER BRIGADES BY RADIOFOR ASSISTANCE .EACH FIREMAN CARRIES A BLEEPER WHICH ALERTS HIM WHEN A FIRE CALL HAS BEEN MADE.6 MEN GO OUT AS CREW AND THE OTHERS WAIT UNTIL NEEDED.",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
13,NI-192000-357000-3,NI-192000-357000,03BELLEEK BARRACKS,1986, BELLEEK IS ON THE BORDER IN NORTHERN IRELAND AND HAS A JOINT POLICE AND ARMY BARRACKS.OFTEN ARMY PATROLS WALKTHROUGH THE SCHOOL GROUNDS AND HELICOPTERS LAND IN THE FIELD BESIDE THE SCHOOL.THE BARRACK HAS BEENATTACKED MANY TIMES.THE LAST ATTACKWAS WITH A CAR BOMB.A RESERVEPOLICEMAN WAS KILLED WHEN A ROCKET CAME THROUGH A WINDOW AS HE WALKED DOWNSTAIRS IN THE BARRACK . THE LOCALCUSTOMS POST HAS BEEN BURNED OR BLOWNUP OVER 30 TIMES AND THE LOCAL HOTEL TWICE.A LOT OF THE TOWN WAS DAMAGEDWHEN THE HOTEL WAS BOMBED.POLICE CARSPATROL THE ROADS AND THE ARMY CHECKS THE ROAD CULVERTS FOR LAND MINES AND SOMETIMES USE SNIFFER DOGS FOR THIS. THE ARMY USED TO USE ARMOURED CARS BUT IT IS NOW MOSTLY FOOT PATROLS.THEHELICOPTER SOMETIMES COMES AT NIGHTWITH A BRIGHT SEARCHLIGHT.,Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
14,NI-192000-357000-4,NI-192000-357000,04TOURISM,1986," THE BELLEEK POTTERY INDUSTRY IS ATOURIST ATTRACTION.THERE IS A GUIDE TO SHOW THE TOURISTS AROUND.THIS PERSON EXPLAINS ALL THE DETAILS OF MAKING CHINA.ALSO IN BELLEEK THERE IS A MARINA WHERE THE CRUISERS CAN MOOR AFTER THEIR DAYS OUTING ON THE RIVER ERNE.TOURISTS CAN RENT A CHALETAT THE BACK OF THE CARLTON HOTEL.FISHERMEN COME PARTICULARLY TO FISHFOR THE HUGE AMOUNT OF COARSE FISH INTHE ERNE.CASTLE CALDWELL ATTRACTSPEOPLE WITH ITS FOREST WALKS AND RAREBIRDS AND ANIMALS.THE WEAK POUND MEANS THAT WE HAVE MANY AMERICANS ANDGERMANS COMING TO VISIT BELLEEK.THEPOTTERY HAS ABOUT 10,000 VISITORSEACH YEAR AND WE WOULD HAVE MANY MOREIF THERE WERE NO TROUBLE IN NORTHERN IRELAND.GERMAN TOURISTS HAVE BECOMECOMMON RECENTLY AND PARTLY REPLACE THE THE ENGLISH AND SCOTS WHO USED TO COME",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
15,NI-192000-357000-5,NI-192000-357000,05THE LIME KILN,1986," LIME IS USED FOR BUILDING, FERTILIZEROR TO WHITEWASH HOUSES.IN BELLEEKTHERE IS A LIME KILN KNOWN ASGRAYSONS.IT WAS A COMMERCIAL KILNLINED WITH FIRESTONE.THERE WERE MANY KILNS OVER THE COUNTRY BUT NONE AS BIG AS THIS ONE.ALTERNATE LAYERS OF TURF AND STONE WERE INSERTED AND A PILLAR OF TURF WAS BUILT UP THE CENTREOF THE KILN AS A WICK TO KEEP THE KILN BURNING. WHEN THE KILN IS SET ALIGHT IT MIGHT TAKE SEVERAL DAYS BEFORE IT WAS FINISHED BURNING AND HAD TO BE ATTENDED NEARLY ALL THE TIME TOCONTROL THE AIR SUPPLY THE QUARRY FORTHE LIMESTONE WAS NEARBY.A MAN WAS PAID TO BREAK THE STONE BECAUSE IT WOULD NOT BURN IN BIG PIECES.THE LIMESTONE AROUND BELLEEK IS A PURE FORM OF LIMESTONE AND MAKES VERY GOODLIME.IT HAS NOT BEEN USED FOR MANY YEARS AND IS NOW OVERGROWN WITH BRIARS",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
16,NI-192000-357000-6,NI-192000-357000,06BELLEEK MARKET DAYS,1986, On market days in Belleek stalls line the street.They all have places kept for them except on ST.PATRICKSday when stalls come and set upanywhere.Market days are on the thirdTuesday of each month and many peoplecome for a days shopping.The shopkeepers and stallkeepers are always on the lookout for shoplifters. When there is a crowd there is a chance to steal something.The street is always very crowded and the policeare always on patrol.One ST.PATRICKS day a woman shot another woman accidently in the leg with a policemans gun that she was stealing.Many Pakistanis used come to Belleek to trade. The street marketshave only becomecommon recently and it has made a bigchange. There are many more whitetraders now.,Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
17,NI-192000-357000-7,NI-192000-357000,07BELLEEK MART,1986," BELLEEK MART IS IN THE MIDDLE OF BELLEEK STREET AND WAS OWNED BY TOMMYDALY WHO OWNED A PUBLIC HOUSE BESIDE THE MART.ANIMALS USED TO BE SOLD ONTHE STREET BEFORE THE MART WAS BUILT THE LAST MART ON THE STREET WAS HELD IN OCTOBER 1960. THE NEW MART WASPAID FOR BY A COLLECTION AMONG THE FARMERS.TOMMY DALY AND THE COMMITTEE BUILT IT WITH THE MONEY THE FARMERSCOLLECTED.IT IS BUILT IN TWO SECTIONS, ONE IS FOR THE BULLS AND ONE IS FORTHE HEIFERS.THE AUCTIONEER IS JOHN CORRIGAN.THE MART SELLS MOST IN THEAUTUMN BECAUSE OF THE CALF SALES.THE BIG FARMERS DON'T SELL ALL YEAR ROUNDBECAUSE THEY GET BETTER PRICES INENNISKILLEN WHICH IS TWENTY_FIVE MILES AWAY.BELLEEK MART IS VERY NOISY DURING THE CALF SALES BECAUSE THE CALVES AREBEING TAKEN AWAY FROM THEIR MOTHERS. IT IS VERY SMELLY ALSO. ",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
18,NI-192000-357000-8,NI-192000-357000,08THE RIVER ERNE,1986," THE RIVER ERNE RISES IN COUNTY CAVAN.IT FLOWS THROUGH FERMANAGH AND MEETS THE SEA IN BALLYSHANNON.THE ERNE BRINGS A LOT OF TOURISTS TO FERMANAGHTHE RIVER FORMS TWO LAKES, UPPER AND LOWER LOUGH ERNE.IT WAS ONCE ONE OF THE BEST SALMON FISHING RIVERS IN EUROPE BUT CHANGES HAVE MADE THE SALMON POPULATION LESS.A HYDROELECTRIC DAM WAS BUILT AT BALLYSHANNON, SALMONDISEASE, POLLUTION CAUSED BY AGRICULTURAL, INDUSTRIAL AND DOMESTICWASTES,AND A HUGE INCREASE IN THENUMBER OF COARSE FISH HAS LED TO THE DECLINE. THE ERNE IS ABOUT 70MILES LONGTHE ERNE IN BELLEEK IS VERY DEEP BECAUSE OF DRAINAGE SCHEMESON THE ERNE.THE POTTERY OVERLOOKS THEERNE AND IT USED A WATERWHEEL TO GRIND THE POTTERY INGREDIENTS ANDTO PROVIDE THE VILLAGE WITH ELECTRIC LIGHTING MANY YEARS AGO.",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
19,NI-192000-357000-9,NI-192000-357000,09OUR FARM,1986," OUR FARM IS ABOUT SEVEN MILES FROM BELLEEK.OUR HOUSE HAS TWO STOREYS.WE HAVE 31 CATTLE OF WHICH 16 ARE CALVESTHE REST ARE HEIFERS OR COWS.WE HAVE TWO HAYSHEDS AND WE ARE HAVING A SILOPIT BUILT NEXT MONTH WITH AN E.E.C FARM GRANT .LAST THURSDAY TWO OF MYDADDY'S COWS CALVED.DADDY AND MYSELF STAYED UP ALL NIGHT WITH THEM ANDAROUND SIX OCLOCK OUR BLACK WHITEHEADCOW CALVED AN ABERDEEN ANGUS BULL ANDSHORTLY AFTER THAT OUR MILK COW CALVED A LIMOUSENE BULL AND IT TOOK JOE MAGEE JIM MCGRATH AND DADDY TO PULL THECALF.LAST DECEMBER WE BOUGHT 26 SHEEPIN GLENTIES AND JOSIE GORMLEY BROUGHTTHEM UP TO OUR HOUSE IN HIS LORRY. FIRST WE INJECTED AND DOSED THEM,THENWE SENT THEM OUT TO OUR RESEEDED FIELD.IN MARCH WE SOLD THEM TO JOHNYOUNG AT 35 PUNTS EACH.I THINK FARMING IS A GOOD JOB.",Belleek,County Fermanagh,Fermanagh and Omagh,Northern Ireland
20,NI-208000-351000-1,NI-208000-351000,01GENERAL SYNOPSIS,1986," This is mainly a low-lying area with some hills rising to a height of 218 feet.The main river is the Sillies with its tributaries.Approximately half of the village of Derrygonnelly lies within this boundary.This areaalso has its share of Fermanagh's well known ""Lakeland"",as parts of Carrick Lough and Monawilkin Lough are alsoincluded. The majority of the peopleobtain a livelihood from dairy farming whilst the Department of Agriculture (Forestry Division),Fermanagh Wood Products and the Lough Erne Cheese Manufacturers also provide employment.The area offers a few notable historical features - a number of Raths,a Crannog on Carrick Lake and the oldest graveyard in the locality beside Carrick Lake. ",Derrygonnelly,County Fermanagh,Fermanagh and Omagh,Northern Ireland
21,NI-208000-351000-10,NI-208000-351000,"10ORIGIN OF ""WOOD PRODUCTS""",1986,"Fermanagh Wood Products Ltd.,is afactory which began production in1976.When it first began,the workers produced dowelling pins which were sold chiefly to local furnituremanafacturers.These dowels were made mostly from beech which is grown inIreland. Later on, when the managementdecided to diversify and manafacture handles for tools,other timbers were used.For striking tools hickory from North America, and parmarfin fromSouth America,were found to be suitable because the closeness of thegrain makes them hard and durable. Ash,grown in Ireland,is used for bending tools like shovels and spades. Thefactory covers an area of just over300 square metres.",Derrygonnelly,County Fermanagh,Fermanagh and Omagh,Northern Ireland
22,NI-208000-351000-11,NI-208000-351000,"11GROWTH OF ""WOOD PRODUCTS""",1986," Germany and Sweden were alreadymanufacturing dowelling pins thus thespecialised machinery required for such production was also imported from there.The handle-making machines wereof Austrian origin.They are fullyautomatic turning machines.England provided the necessary rounded machinery for making handles.All the materials have to be kiln dried in the factory. There are 12 full-time workers and early Spring is the busiesttime,when demand for tools increases with the sowing of crops. Raw materials are shipped from America but the factory provides its own transport todeliver goods to markets chiefly inSouthern Ireland and the UnitedKingdom. ",Derrygonnelly,County Fermanagh,Fermanagh and Omagh,Northern Ireland
23,NI-208000-351000-12,NI-208000-351000,12GROWTH OF CHEESE INDUSTRY,1986," Our cheese factory is reckoned to be about the only one in west Ulster. David Mitchell and Allistar Johnston saw there was a market for Cottage and Mozzarella Cheese and the closure of the old Creamery meant premises were available.The building was leased to the Lough Erne Creamery and from there the industry grew.Between the end of 1982 and April 1984,this small company gotinto financial difficulties.The West Ulster Farmers then undertook the task of running it.Promptly an old room was converted into a new production room for Mozzarella.Its growth continuesand the current aim is to produce 3tonnes of Cottage Cheese and 5 tonnesof Mozzarella, per week. ",Derrygonnelly,County Fermanagh,Fermanagh and Omagh,Northern Ireland
24,NI-208000-351000-13,NI-208000-351000,13LOUGH ERNE CHEESE FACTORY,1986," Cottage cheese is made from skimmedmilk _ This is whole milk with the cream taken off.This comes fromIrvinestown creamery.Cultured cream is used as a dressing.If you add acertain bacteria to the cream, itsours it.Incubation for 18 hours gives the cottage cheese a flavour.Preservative and salt are added to give itits special quality.Mozzarella is milk with skim added, to bring it to a 2.2 fat level. Cottagecheese is sold in 4 ounce and 8 ouncetubs, in supermarkets all over Northern Ireland.They also export 9lb. and 2kg. containers of Mozzarella to Dublin and Scotland,with 90% going toEngland.The local market is mainly topizza parlours. ",Derrygonnelly,County Fermanagh,Fermanagh and Omagh,Northern Ireland
25,NI-208000-351000-14,NI-208000-351000,14CHURCHES,1986," Completely renovated between 1939_41,St.Patrick's Roman Catholic Church isnow capable of accommodating a congregation of one thousand.In theinterior are many beautiful gifts from parishioners or friends.The coloured windows, stately altars,Stations ofthe Cross and polished plaster walls are much admired.Sunday Masses are at8.30 a.m. and 11.30 a.m.The Methodist Church was erected in 1837,but the building was extensively renovated in1960.The roof was replaced and heating installed,while the seatingwas replaced by more comfortable seats from a Moravian church in Dublin.Sunday Service is at 11.00 a.m. ",Derrygonnelly,County Fermanagh,Fermanagh and Omagh,Northern Ireland
26,NI-208000-351000-15,NI-208000-351000,15ST.PATRICK'S PRIMARY SCHOOL,1986," St.Patrick's Primary School waserected in 1938 by Pierce of Enniskillen, being financed chiefly by the Department of Education.Twoextensions have been added since then, one in 1970 and one in 1973.The school has five classrooms, one mobileclassroom and a small remedial room.We also have a reasonably large dininghall, a staffroom and a small office.It is a seven_teacher school,administered by the Principal, Mr. Michael Farrell.Presently there are180 pupils on roll.There is also a part-time secretary. The school has a large play area both to the front andback, covered mainly by grass.Theentire school grounds cover an area of approximately 10,369 sq. metres.",Derrygonnelly,County Fermanagh,Fermanagh and Omagh,Northern Ireland
